GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mon-appli,fr.univavignon.pokedex.api,Team,0,34,0,0,0,4,0,1,0,1
mon-appli,fr.univavignon.pokedex.api,PokedexException,4,0,0,0,2,0,1,0,1,0
mon-appli,fr.univavignon.pokedex.api,PokemonTrainerFactoryImplement,15,0,0,0,3,0,2,0,2,0
mon-appli,fr.univavignon.pokedex.api,PokedexImplement,126,0,8,0,21,0,12,0,8,0
mon-appli,fr.univavignon.pokedex.api,PokemonMetadata,9,24,0,0,3,9,3,3,3,3
mon-appli,fr.univavignon.pokedex.api,RocketPokemonFactory,105,0,6,0,26,0,7,0,4,0
mon-appli,fr.univavignon.pokedex.api,PokemonTrainer,3,18,0,0,1,7,1,3,1,3
mon-appli,fr.univavignon.pokedex.api,PokedexFactoryImplement,7,0,0,0,2,0,2,0,2,0
mon-appli,fr.univavignon.pokedex.api,PokemonComparators,54,0,0,0,8,0,3,0,3,0
mon-appli,fr.univavignon.pokedex.api,Pokemon,12,26,0,0,4,8,4,2,4,2
